model_id,learning_rate,batch_size,optimizer,l2_reg,dropout,activation,epochs
model_0466,0.01,512,adam,0.001,0.5,relu,50
model_0467,1e-05,256,sgd,0.001,0.0,relu,35
model_0468,0.0001,32,adam,0.0001,0.2,sigmoid,20
model_0469,0.001,128,adam,1e-05,0.0,relu,10
model_0470,0.1,16,sgd,0.0,0.0,sigmoid,35
model_0471,0.001,128,sgd,0.0001,0.0,sigmoid,20
model_0472,0.01,64,sgd,0.0,0.0,sigmoid,50
model_0473,1e-05,32,adam,1e-05,0.0,relu,20
model_0474,0.01,256,sgd,0.0001,0.2,relu,5
model_0475,0.01,128,sgd,0.0,0.2,relu,10
model_0476,1e-05,16,sgd,1e-05,0.0,relu,35
model_0477,0.001,512,sgd,0.0001,0.0,relu,5
model_0478,0.0001,512,adam,1e-05,0.0,sigmoid,5
model_0479,1e-05,128,sgd,1e-05,0.5,sigmoid,35
model_0480,0.01,16,adam,0.001,0.0,sigmoid,10
model_0481,0.0001,64,adam,0.001,0.0,relu,50
model_0482,0.1,256,sgd,0.0001,0.2,sigmoid,50
model_0483,0.01,16,sgd,0.0001,0.2,relu,35
model_0484,0.0001,512,sgd,0.0,0.2,sigmoid,35
model_0485,0.1,128,adam,0.0001,0.2,sigmoid,10
model_0486,1e-05,64,sgd,0.0,0.2,relu,35
model_0487,0.1,64,sgd,1e-05,0.0,relu,10
model_0488,0.001,256,sgd,1e-05,0.5,sigmoid,20
model_0489,0.0001,32,sgd,0.0001,0.5,sigmoid,50
model_0490,1e-05,512,adam,1e-05,0.5,relu,35
model_0491,0.1,64,sgd,0.001,0.0,relu,5
model_0492,0.0001,256,sgd,0.0,0.5,sigmoid,5
model_0493,0.001,256,sgd,1e-05,0.2,relu,20
model_0494,1e-05,16,sgd,1e-05,0.0,sigmoid,5
model_0495,0.001,512,adam,0.0,0.2,sigmoid,20
model_0496,0.0001,32,adam,0.001,0.5,sigmoid,10
model_0497,0.1,512,adam,1e-05,0.5,relu,35
model_0498,0.001,512,adam,1e-05,0.0,relu,50
model_0499,0.01,256,sgd,1e-05,0.5,sigmoid,50
model_0500,0.0001,512,sgd,0.001,0.0,sigmoid,5
